,region,date,weighted_avg_sars_cov2,gene_copies_per_day,regional_pop,avg_r_lower,avg_r_avg,avg_r_upper,temp,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,compo_frac,sars_below_lod,sars_below_loq,reception_delay
0,east midlands,2020-09-04,4059.005489664428,4620150009792.968,2845617.0,0.8,0.9,1.0,"(235.5092972806952, 30.43365709440167, 2.5284070985834752, 7.6214262085267706, 9877321.503427904, 2.0, 2.19406309417826, 0.036872495490433185, 0.0, 0.0, 21.78726668065309)",235.5092972806952,30.43365709440167,2.5284070985834752,7.6214262085267706,9877321.503427904,2.0,2.19406309417826,0.036872495490433185,0.0,0.0,21.78726668065309
4,east midlands,2020-09-11,19439.22593408641,22126636713950.87,2845617.0,0.9058297097624821,1.00676264268688,1.107695575611278,"(263.3153583212358, 63.46952102127588, 3.8098695119427948, 7.6214262085267706, 9877321.503427904, 2.0, 13.205521142901466, 0.036872495490433185, 0.20379622415806484, 0.0, 21.790455596565995)",263.3153583212358,63.46952102127588,3.8098695119427948,7.6214262085267706,9877321.503427904,2.0,13.205521142901466,0.036872495490433185,0.20379622415806484,0.0,21.790455596565995
8,east midlands,2020-09-18,7492.852317590704,8528715173370.203,2845617.0,1.196219637094094,1.3441519777771647,1.4920843184602353,"(343.27438302484137, 37.004473195092665, 3.6868305789864526, 7.6214262085267706, 9877321.503427904, 2.0, 7.036485377599809, 0.036872495490433185, 0.0, 0.0, 21.81319436757184)",343.27438302484137,37.004473195092665,3.6868305789864526,7.6214262085267706,9877321.503427904,2.0,7.036485377599809,0.036872495490433185,0.0,0.0,21.81319436757184
12,east midlands,2020-09-25,10268.071828604683,11687599901079.428,2845617.0,1.198036871734576,1.347103938810178,1.49617100588578,"(233.859240368609, 35.2568550159772, 3.4671746698990464, 7.6214262085267706, 9877321.503427904, 2.0, 6.462055286067031, 0.036872495490433185, 0.38344583968959983, 0.0, 21.05013412439786)",233.859240368609,35.2568550159772,3.4671746698990464,7.6214262085267706,9877321.503427904,2.0,6.462055286067031,0.036872495490433185,0.38344583968959983,0.0,21.05013412439786
16,east midlands,2020-10-02,27035.90748491575,30773535179801.402,2845617.0,1.196219637094094,1.3482872964110235,1.500354955727953,"(270.10038596198996, 37.06741033666864, 3.379940236490287, 7.6214262085267706, 9877321.503427904, 2.0, 44.48797827069962, 0.036872495490433185, 0.38344583968959983, 0.0, 21.674032403751685)",270.10038596198996,37.06741033666864,3.379940236490287,7.6214262085267706,9877321.503427904,2.0,44.48797827069962,0.036872495490433185,0.38344583968959983,0.0,21.674032403751685
20,east midlands,2020-10-09,14349.064146126519,16332776347323.242,2845617.0,1.2060011844826546,1.3534977695814907,1.5009943546803273,"(202.77624501118737, 26.784090761335765, 2.568787954700498, 7.6582586775639765, 9877321.503427904, 2.0, 19.337591507940232, 0.036872495490433185, 0.0, 0.0, 21.716041570832147)",202.77624501118737,26.784090761335765,2.568787954700498,7.6582586775639765,9877321.503427904,2.0,19.337591507940232,0.036872495490433185,0.0,0.0,21.716041570832147
24,east midlands,2020-10-16,14276.153170635213,16249785662785.385,2845617.0,1.2068726956511233,1.3513686885086322,1.495864681366141,"(266.96477424755335, 69.79584005858835, 3.262723608152903, 7.6214262085267706, 9877321.503427904, 2.0, 34.4219303144013, 0.036872495490433185, 0.38344583968959983, 0.0, 21.88834973809429)",266.96477424755335,69.79584005858835,3.262723608152903,7.6214262085267706,9877321.503427904,2.0,34.4219303144013,0.036872495490433185,0.38344583968959983,0.0,21.88834973809429
28,east midlands,2020-10-23,46548.71315883098,52983923797157.26,2845617.0,1.10191449705711,1.201938812661267,1.301963128265424,"(226.26992669779523, 32.02153627842397, 3.1127632433783075, 7.6214262085267706, 9877321.503427904, 2.0, 52.77561831933753, 0.036872495490433185, 0.5872420638476646, 0.0, 22.33177159821578)",226.26992669779523,32.02153627842397,3.1127632433783075,7.6214262085267706,9877321.503427904,2.0,52.77561831933753,0.036872495490433185,0.5872420638476646,0.0,22.33177159821578
32,east midlands,2020-10-30,97691.63616354634,111197192249920.9,2845617.0,1.1942189214458316,1.2942189214458313,1.3942189214458316,"(209.06904548293042, 31.568873815415074, 3.148214192698479, 7.6214262085267706, 9877321.503427904, 2.0, 135.68824156794582, 0.036872495490433185, 1.0, 0.0, 21.646678822202706)",209.06904548293042,31.568873815415074,3.148214192698479,7.6214262085267706,9877321.503427904,2.0,135.68824156794582,0.036872495490433185,1.0,0.0,21.646678822202706
36,east midlands,2020-11-06,196083.71584241363,223191662089736.62,2845617.0,1.0992257512481594,1.1976795848755504,1.2961334185029416,"(303.69873739157447, 36.04374060177459, 3.670446527299972, 7.6214262085267706, 9877321.503427904, 2.0, 204.9580863357295, 0.036872495490433185, 1.0, 0.579681664819967, 21.741746230548006)",303.69873739157447,36.04374060177459,3.670446527299972,7.6214262085267706,9877321.503427904,2.0,204.9580863357295,0.036872495490433185,1.0,0.579681664819967,21.741746230548006
