,areaCode,areaName,areaType,date,newCasesBySpecimenDate
487,E12000001,north east,region,2021-02-28,261
488,E12000001,north east,region,2021-02-27,290
489,E12000001,north east,region,2021-02-26,380
490,E12000001,north east,region,2021-02-25,469
491,E12000001,north east,region,2021-02-24,444
492,E12000001,north east,region,2021-02-23,402
493,E12000001,north east,region,2021-02-22,566
494,E12000001,north east,region,2021-02-21,417
495,E12000001,north east,region,2021-02-20,356
496,E12000001,north east,region,2021-02-19,471
497,E12000001,north east,region,2021-02-18,597
498,E12000001,north east,region,2021-02-17,608
499,E12000001,north east,region,2021-02-16,733
500,E12000001,north east,region,2021-02-15,746
501,E12000001,north east,region,2021-02-14,490
502,E12000001,north east,region,2021-02-13,510
503,E12000001,north east,region,2021-02-12,583
504,E12000001,north east,region,2021-02-11,681
505,E12000001,north east,region,2021-02-10,715
506,E12000001,north east,region,2021-02-09,704
507,E12000001,north east,region,2021-02-08,783
508,E12000001,north east,region,2021-02-07,603
509,E12000001,north east,region,2021-02-06,594
510,E12000001,north east,region,2021-02-05,706
511,E12000001,north east,region,2021-02-04,851
512,E12000001,north east,region,2021-02-03,891
513,E12000001,north east,region,2021-02-02,884
514,E12000001,north east,region,2021-02-01,1034
515,E12000001,north east,region,2021-01-31,762
516,E12000001,north east,region,2021-01-30,781
517,E12000001,north east,region,2021-01-29,903
518,E12000001,north east,region,2021-01-28,972
519,E12000001,north east,region,2021-01-27,1004
520,E12000001,north east,region,2021-01-26,1098
521,E12000001,north east,region,2021-01-25,1207
522,E12000001,north east,region,2021-01-24,741
523,E12000001,north east,region,2021-01-23,755
524,E12000001,north east,region,2021-01-22,996
525,E12000001,north east,region,2021-01-21,1139
526,E12000001,north east,region,2021-01-20,1346
527,E12000001,north east,region,2021-01-19,1291
528,E12000001,north east,region,2021-01-18,1604
529,E12000001,north east,region,2021-01-17,976
530,E12000001,north east,region,2021-01-16,1042
531,E12000001,north east,region,2021-01-15,1244
532,E12000001,north east,region,2021-01-14,1274
533,E12000001,north east,region,2021-01-13,1437
534,E12000001,north east,region,2021-01-12,1466
