date,areaCode,region,areaType,newCasesBySpecimenDate,cases_7d_avg
2020-09-04,E12000009,South West,region,136,136.0
2020-09-04,E12000007,London,region,359,359.0
2020-09-04,E12000002,North West,region,652,652.0
2020-09-04,E12000008,South East,region,236,236.0
2020-09-04,E12000001,North East,region,178,178.0
2020-09-04,E12000005,West Midlands,region,435,435.0
2020-09-04,E12000004,East Midlands,region,185,185.0
2020-09-04,E12000003,Yorkshire And The Humber,region,308,308.0
2020-09-04,E12000006,East Of England,region,122,122.0
2020-09-05,E12000007,London,region,271,315.0
2020-09-05,E12000002,North West,region,542,597.0
2020-09-05,E12000001,North East,region,238,208.0
2020-09-05,E12000004,East Midlands,region,164,174.5
2020-09-05,E12000003,Yorkshire And The Humber,region,315,311.5
2020-09-05,E12000009,South West,region,85,110.5
2020-09-05,E12000005,West Midlands,region,310,372.5
2020-09-05,E12000008,South East,region,161,198.5
2020-09-05,E12000006,East Of England,region,98,110.0
2020-09-06,E12000006,East Of England,region,80,100.0
2020-09-06,E12000007,London,region,209,279.6666666666667
2020-09-06,E12000009,South West,region,78,99.66666666666667
2020-09-06,E12000005,West Midlands,region,323,356.0
2020-09-06,E12000001,North East,region,171,195.66666666666666
2020-09-06,E12000002,North West,region,578,590.6666666666666
2020-09-06,E12000004,East Midlands,region,138,162.33333333333334
2020-09-06,E12000008,South East,region,181,192.66666666666666
2020-09-06,E12000003,Yorkshire And The Humber,region,308,310.3333333333333
2020-09-07,E12000002,North West,region,983,688.75
2020-09-07,E12000001,North East,region,203,197.5
2020-09-07,E12000006,East Of England,region,156,114.0
2020-09-07,E12000007,London,region,464,325.75
2020-09-07,E12000008,South East,region,208,196.5
2020-09-07,E12000005,West Midlands,region,497,391.25
2020-09-07,E12000009,South West,region,98,99.25
2020-09-07,E12000003,Yorkshire And The Humber,region,539,367.5
2020-09-07,E12000004,East Midlands,region,351,209.5
2020-09-08,E12000004,East Midlands,region,320,231.6
2020-09-08,E12000002,North West,region,873,725.6
2020-09-08,E12000005,West Midlands,region,435,400.0
2020-09-08,E12000008,South East,region,198,196.8
2020-09-08,E12000007,London,region,351,330.8
2020-09-08,E12000009,South West,region,79,95.2
2020-09-08,E12000001,North East,region,231,204.2
2020-09-08,E12000006,East Of England,region,170,125.2
2020-09-08,E12000003,Yorkshire And The Humber,region,388,371.6
2020-09-09,E12000007,London,region,347,333.5
2020-09-09,E12000005,West Midlands,region,393,398.8333333333333
2020-09-09,E12000009,South West,region,78,92.33333333333333
2020-09-09,E12000001,North East,region,241,210.33333333333334
2020-09-09,E12000008,South East,region,171,192.5
2020-09-09,E12000002,North West,region,853,746.8333333333334
2020-09-09,E12000003,Yorkshire And The Humber,region,397,375.8333333333333
2020-09-09,E12000006,East Of England,region,129,125.83333333333333
2020-09-09,E12000004,East Midlands,region,254,235.33333333333334
2020-09-10,E12000006,East Of England,region,167,131.71428571428572
