,date,nhs_region,r_lower,r_avg,r_upper
0,2020-06-12,England,0.8,0.9,1.0
1,2020-06-19,England,0.7,0.8,0.9
2,2020-06-26,England,0.7,0.8,0.9
3,2020-07-03,England,0.8,0.8500000000000001,0.9
4,2020-07-10,England,0.8,0.9,1.0
5,2020-07-17,England,0.8,0.9,1.0
6,2020-07-24,England,0.8,0.9,1.0
7,2020-07-31,England,0.8,0.9,1.0
8,2020-08-07,England,0.8,0.9,1.0
9,2020-08-14,England,0.8,0.9,1.0
10,2020-08-21,England,0.9,0.95,1.0
11,2020-08-28,England,0.9,1.0,1.1
12,2020-09-04,England,0.9,0.95,1.0
13,2020-09-11,England,1.0,1.1,1.2
14,2020-09-18,England,1.2,1.2999999999999998,1.4
15,2020-09-25,England,1.2,1.35,1.5
16,2020-10-02,England,1.2,1.4,1.6
17,2020-10-09,England,1.2,1.35,1.5
18,2020-10-16,England,1.2,1.2999999999999998,1.4
19,2020-10-23,England,1.2,1.2999999999999998,1.4
20,2020-10-30,England,1.1,1.2000000000000002,1.3
21,2020-11-06,England,1.1,1.2000000000000002,1.3
22,2020-11-13,England,1.1,1.15,1.2
23,2020-11-20,England,1.0,1.05,1.1
24,2020-11-27,England,0.9,0.95,1.0
25,2020-12-04,England,0.8,0.9,1.0
26,2020-12-11,England,0.8,0.9,1.0
27,2020-12-18,England,1.1,1.2000000000000002,1.3
28,2020-12-23,England,1.1,1.25,1.4
29,2021-01-08,England,1.1,1.25,1.4
30,2021-01-15,England,1.1,1.2000000000000002,1.3
31,2021-01-22,England,0.8,0.9,1.0
32,2021-01-29,England,0.7,0.85,1.0
33,2021-02-05,England,0.7,0.8,0.9
34,2021-02-12,England,0.7,0.8,0.9
35,2021-02-19,England,0.7,0.8,0.9
36,2021-02-26,England,0.7,0.8,0.9
37,2021-03-05,England,0.7,0.8,0.9
38,2021-03-12,England,0.6,0.7,0.8
39,2021-03-19,England,0.7,0.8,0.9
40,2021-03-26,England,0.8,0.9,1.0
41,2020-06-12,East Of England,0.7,0.8,0.9
42,2020-06-19,East Of England,0.7,0.8,0.9
43,2020-06-26,East Of England,0.7,0.8,0.9
44,2020-07-03,East Of England,0.7,0.8,0.9
45,2020-07-10,East Of England,0.7,0.85,1.0
