Region,date,catchment_population_ons_mid_2019
East Midlands,2020-09-04,2845617.0
East Midlands,2020-09-06,2845617.0
East Midlands,2020-09-07,2845617.0
East Midlands,2020-09-09,1775991.0
East Midlands,2020-09-11,2845617.0
East Midlands,2020-09-13,2845617.0
East Midlands,2020-09-14,1754477.0
East Midlands,2020-09-16,2845617.0
East Midlands,2020-09-18,2845617.0
East Midlands,2020-09-20,2845617.0
East Midlands,2020-09-21,2845617.0
East Midlands,2020-09-23,2265691.0
East Midlands,2020-09-25,2845617.0
East Midlands,2020-09-27,2845617.0
East Midlands,2020-09-28,2845617.0
East Midlands,2020-09-30,2845617.0
East Midlands,2020-10-02,2845617.0
East Midlands,2020-10-04,1754477.0
East Midlands,2020-10-05,2845617.0
East Midlands,2020-10-07,2845617.0
East Midlands,2020-10-09,2845617.0
East Midlands,2020-10-11,2845617.0
East Midlands,2020-10-12,2845617.0
East Midlands,2020-10-14,2845617.0
East Midlands,2020-10-16,2845617.0
East Midlands,2020-10-18,2845617.0
East Midlands,2020-10-19,2845617.0
East Midlands,2020-10-21,2845617.0
East Midlands,2020-10-23,2845617.0
East Midlands,2020-10-25,2845617.0
East Midlands,2020-10-26,2845617.0
East Midlands,2020-10-28,2845617.0
East Midlands,2020-10-30,2845617.0
East Midlands,2020-11-01,1775991.0
East Midlands,2020-11-02,1754477.0
East Midlands,2020-11-04,2265691.0
East Midlands,2020-11-06,2845617.0
East Midlands,2020-11-08,1174551.0
East Midlands,2020-11-09,2845617.0
East Midlands,2020-11-11,2845617.0
East Midlands,2020-11-13,2845617.0
East Midlands,2020-11-15,2845617.0
East Midlands,2020-11-16,2845617.0
East Midlands,2020-11-18,2845617.0
East Midlands,2020-11-20,1754477.0
East Midlands,2020-11-22,2845617.0
East Midlands,2020-11-23,2845617.0
East Midlands,2020-11-25,2845617.0
East Midlands,2020-11-27,2845617.0
East Midlands,2020-11-29,1754477.0
East Midlands,2020-11-30,2845617.0
East Midlands,2020-12-02,2845617.0
East Midlands,2020-12-04,2845617.0
East Midlands,2020-12-06,2845617.0
East Midlands,2020-12-07,2845617.0
East Midlands,2020-12-09,2845617.0
East Midlands,2020-12-11,2845617.0
East Midlands,2020-12-13,2845617.0
East Midlands,2020-12-14,2845617.0
East Midlands,2020-12-16,2845617.0
East Midlands,2020-12-18,2845617.0
East Midlands,2020-12-20,2845617.0
East Midlands,2020-12-21,1754477.0
East Midlands,2020-12-23,2845617.0
East Midlands,2020-12-30,2845617.0
East Midlands,2021-01-03,1775991.0
East Midlands,2021-01-04,2845617.0
East Midlands,2021-01-06,2845617.0
East Midlands,2021-01-08,2845617.0
East Midlands,2021-01-10,2845617.0
East Midlands,2021-01-11,2845617.0
East Midlands,2021-01-13,2845617.0
East Midlands,2021-01-15,2845617.0
East Midlands,2021-01-17,2845617.0
East Midlands,2021-01-18,2845617.0
East Midlands,2021-01-20,2845617.0
East Midlands,2021-01-22,2845617.0
East Midlands,2021-01-24,1754477.0
East Midlands,2021-01-25,2845617.0
East Midlands,2021-01-27,2845617.0
East Midlands,2021-01-29,2845617.0
East Midlands,2021-01-31,2845617.0
East Midlands,2021-02-01,2845617.0
East Midlands,2021-02-03,2845617.0
East Midlands,2021-02-05,2845617.0
East Midlands,2021-02-07,2845617.0
East Midlands,2021-02-08,2845617.0
