sitecode,week,mean_gene,mean_pop
ALLA,5,658.0,62058.0
ALLA,6,329.0,62058.0
ALLA,7,493.5,62058.0
ALLA,8,164.5,62058.0
ALLA,9,2884.25,62058.0
ALLA,10,2828.0,62058.0
ALLA,11,915.0,62058.0
ALLA,12,3922.25,62058.0
ALLA,13,1794.5,62058.0
ALLA,14,4172.666666666667,62058.0
ALLA,15,4605.0,62058.0
ALLA,16,10806.75,62058.0
ALLA,17,30269.75,62058.0
ALLA,18,8493.0,62058.0
ALLA,19,3858.6666666666665,62058.0
ALLA,20,7802.333333333333,62058.0
ALLA,21,10664.333333333334,62058.0
ALLA,22,3328.75,62058.0
ALLA,23,1660.0,62058.0
ALLA,24,3919.5,62058.0
ALLA,27,69420.66666666667,62058.0
ALLA,28,77328.75,62058.0
ALLA,29,36352.0,62058.0
ALLA,30,38835.0,62058.0
ALLA,31,36220.0,62058.0
ALLA,32,58960.5,62058.0
ALLA,33,40512.75,62058.0
ALLA,34,32658.0,62058.0
ALLA,35,10975.0,62058.0
ALLA,36,37755.5,62058.0
ALLA,37,16571.0,62058.0
ALLA,38,31166.25,62058.0
ALLE,27,164611.0,30137.0
ALLE,28,160354.0,30137.0
ALLE,29,63235.0,30137.0
ALLE,30,70511.0,30137.0
ALLE,31,44507.0,30137.0
ALLE,32,12351.0,30137.0
ALLE,33,60768.0,30137.0
ALLE,34,46775.0,30137.0
ALLE,35,15091.0,30137.0
ALLE,36,2164.0,30137.0
ALLE,37,3334.0,30137.0
ALLE,38,3695.0,30137.0
ALLO,24,28652.5,34758.0
ALLO,25,3325.0,34758.0
ALLO,27,111031.66666666667,34758.0
ALLO,28,134828.66666666666,34758.0
ALLO,29,14117.333333333334,34758.0
ALLO,30,45316.0,34758.0
ALLO,31,55413.5,34758.0
ALLO,32,57188.5,34758.0
ALLO,33,18428.0,34758.0
ALLO,34,30909.666666666668,34758.0
ALLO,35,17336.666666666668,34758.0
ALLO,36,33287.333333333336,34758.0
ALLO,37,29208.333333333332,34758.0
ALLO,38,28715.0,34758.0
ALVA,33,71298.0,5243.0
ALVA,34,66241.5,5243.0
ALVA,35,14773.5,5243.0
ALVA,36,23393.5,5243.0
ALVA,37,5809.0,5243.0
ALVA,38,6408.0,5243.0
ANNA,7,0.0,8256.0
ANNA,8,0.0,8256.0
ANNA,9,0.0,8256.0
ANNA,10,0.0,8256.0
ANNA,11,0.0,8256.0
ANNA,12,658.0,8256.0
ANNA,13,0.0,8256.0
ANNA,14,0.0,8256.0
ANNA,15,1290.0,8256.0
ANNA,16,658.0,8256.0
ANNA,17,1779.0,8256.0
ANNA,18,2180.0,8256.0
ANNA,19,4477.0,8256.0
ANNA,20,14299.0,8256.0
ANNA,21,658.0,8256.0
ANNA,22,0.0,8256.0
ANNA,23,0.0,8256.0
ANNA,27,1193430.0,8256.0
ANNA,28,332249.0,8256.0
ANNA,29,17339.0,8256.0
