Date,Lower bound,Upper bound
03-Jul-20,0.7,0.9
10-Jul-20,0.7,0.9
17-Jul-20,0.7,0.9
24-Jul-20,0.7,0.9
31-Jul-20,0.8,0.9
07-Aug-20,0.8,1.0
14-Aug-20,0.8,1.0
21-Aug-20,0.9,1.1
28-Aug-20,0.9,1.1
04-Sep-20*,0.9,1.1
11-Sep-20,1.0,1.2
18-Sep-20,1.1,1.4
25-Sep-20,1.2,1.5
02-Oct-20,1.3,1.6
09-Oct-20,1.2,1.5
16-Oct-20,1.3,1.5
23-Oct-20,1.2,1.4
30-Oct-20,1.1,1.3
06-Nov-20,1.1,1.3
13-Nov-20,1.0,1.2
20-Nov-20,1.0,1.1
27-Nov-20,0.9,1.0
04-Dec-20,0.8,1.0
11-Dec-20,0.9,1.0
18-Dec-20,1.1,1.2
23-Dec-20*,1.1,1.3
08-Jan-21*,1.0,1.4
15-Jan-21,1.2,1.3
22-Jan-21,0.8,1.0
29-Jan-21,0.7,1.1
05-Feb-21,0.7,1.0
12-Feb-21,0.7,0.9
19-Feb-21,0.6,0.9
26-Feb-21,0.6,0.9
05-Mar-21,0.7,0.9
12-Mar-21,0.6,0.8
19-Mar-21,0.6,0.9
26-Mar-21,0.7,0.9
