,region,date,weighted_average_r
0,east midlands,2020-06-12,0.8960640630846195
1,east midlands,2020-06-19,0.8935336828618549
2,east midlands,2020-06-26,0.8004111889335148
3,east midlands,2020-07-03,0.8972882872654654
4,east midlands,2020-07-10,0.8034629494496216
5,east midlands,2020-07-17,0.8488859671789816
6,east midlands,2020-07-24,0.8530275641023153
7,east midlands,2020-07-31,0.8022145288549841
8,east midlands,2020-08-07,0.8985460504798011
9,east midlands,2020-08-14,0.9003869925197231
10,east midlands,2020-08-21,0.9008223778670295
11,east midlands,2020-08-28,0.9474320176587827
12,east midlands,2020-09-04,0.9
13,east midlands,2020-09-11,1.0067673147118326
14,east midlands,2020-09-18,1.3441505318033231
15,east midlands,2020-09-25,1.3471055066642639
16,east midlands,2020-10-02,1.348292128726657
17,east midlands,2020-10-09,1.3535005515680743
18,east midlands,2020-10-16,1.3513679545741633
19,east midlands,2020-10-23,1.2019377276950882
20,east midlands,2020-10-30,1.2942136473426071
21,east midlands,2020-11-06,1.1976765967922287
22,east midlands,2020-11-13,1.1951946093970471
23,east midlands,2020-11-20,1.097265407858714
24,east midlands,2020-11-27,0.9942620401701905
25,east midlands,2020-12-04,0.8494557402999068
26,east midlands,2020-12-11,0.8969495564909334
27,east midlands,2020-12-18,1.0988146949446471
28,east midlands,2020-12-23,1.099795656999087
29,east midlands,2021-01-08,1.2486562418396288
30,east midlands,2021-01-15,1.2933750986744443
31,east midlands,2021-01-22,1.0401662020603595
32,east midlands,2021-01-29,0.947129703078055
33,east midlands,2021-02-05,0.804528589443057
34,east midlands,2021-02-12,0.8020466020478754
35,east midlands,2021-02-19,0.7531848312826854
36,east midlands,2021-02-26,0.7981348615462867
37,east midlands,2021-03-05,0.8001572671803703
38,east midlands,2021-03-12,0.7041415969233338
39,east midlands,2021-03-19,0.7525061838089733
40,east midlands,2021-03-26,0.852070798461667
41,east of england,2020-06-12,0.8001191099356759
42,east of england,2020-06-19,0.8000674857012545
43,east of england,2020-06-26,0.7999766508475266
44,east of england,2020-07-03,0.8001283215471754
45,east of england,2020-07-10,0.8499920692665833
46,east of england,2020-07-17,0.900001280878083
47,east of england,2020-07-24,0.8999779317256095
48,east of england,2020-07-31,0.8500154184190568
49,east of england,2020-08-07,0.8001424590881493
50,east of england,2020-08-14,0.8999858624590261
51,east of england,2020-08-21,0.9000466983049469
52,east of england,2020-08-28,0.9000970416612851
53,east of england,2020-09-04,0.9000466983049469
54,east of england,2020-09-11,1.0500621167240038
55,east of england,2020-09-18,1.1501632464844567
56,east of england,2020-09-25,1.2001221147396182
57,east of england,2020-10-02,1.150233293941877
58,east of england,2020-10-09,1.4498434033708771
59,east of england,2020-10-16,1.3999078842681891
60,east of england,2020-10-23,1.2999233026872457
61,east of england,2020-10-30,1.2999533016950529
62,east of england,2020-11-06,1.2499687201141096
63,east of england,2020-11-13,1.249922021809163
64,east of england,2020-11-20,1.1499687201141098
65,east of england,2020-11-27,1.0000516242344213
66,east of england,2020-12-04,0.9499933501446661
67,east of england,2020-12-11,0.9999558634512189
68,east of england,2020-12-18,1.2998367535155428
69,east of england,2020-12-23,1.3498755210870734
70,east of england,2021-01-08,1.200059554967838
71,east of england,2021-01-15,1.1500053689772507
72,east of england,2021-01-22,0.7501840338807646
73,east of england,2021-01-29,0.8000428556706982
74,east of england,2021-02-05,0.7999391641540793
75,east of england,2021-02-12,0.7999391641540793
76,east of england,2021-02-19,0.7000220682743905
77,east of england,2021-02-26,0.7000724116307289
78,east of england,2021-03-05,0.7000441365487811
79,east of england,2021-03-12,0.7
80,east of england,2021-03-19,0.7500141375409739
81,east of england,2021-03-26,0.8499766508475266
82,london,2020-06-12,0.8998562458351944
83,london,2020-06-19,0.8497177139667391
84,london,2020-06-26,0.7502822860332609
85,london,2020-07-03,0.9493635508510755
86,london,2020-07-10,0.8502104089508581
87,london,2020-07-17,0.9497177139667391
88,london,2020-07-24,0.8999999999999999
89,london,2020-07-31,0.899928122917597
90,london,2020-08-07,0.9495739598019336
91,london,2020-08-14,0.8997895910491419
92,london,2020-08-21,0.9994354279334782
93,london,2020-08-28,0.9998562458351946
94,london,2020-09-04,0.9994354279334782
95,london,2020-09-11,1.1993635508510756
96,london,2020-09-18,1.2498562458351945
97,london,2020-09-25,1.3489427329493593
98,london,2020-10-02,1.3990093877354115
99,london,2020-10-09,1.3002156312472077
100,london,2020-10-16,1.2508468580997827
101,london,2020-10-23,1.2007749810173802
102,london,2020-10-30,1.200564572066522
103,london,2020-11-06,1.200492694984119
104,london,2020-11-13,1.1010572670506407
105,london,2020-11-20,1.100492694984119
106,london,2020-11-27,1.0501385318684555
107,london,2020-12-04,0.9999281229175974
108,london,2020-12-11,1.0
109,london,2020-12-18,1.2001437541648057
110,london,2020-12-23,1.3497895910491418
111,london,2021-01-08,1.2499281229175971
112,london,2021-01-15,1.0503541631156637
113,london,2021-01-22,0.8001385318684555
114,london,2021-01-29,0.7502822860332609
115,london,2021-02-05,0.7003541631156636
116,london,2021-02-12,0.7003541631156636
117,london,2021-02-19,0.7
118,london,2021-02-26,0.7004208179017163
119,london,2021-03-05,0.7
120,london,2021-03-12,0.7
121,london,2021-03-19,0.7502104089508581
122,london,2021-03-26,0.8002822860332609
123,north east,2020-06-12,0.85
124,north east,2020-06-19,0.8
125,north east,2020-06-26,0.8
126,north east,2020-07-03,0.8999999999999999
127,north east,2020-07-10,0.85
128,north east,2020-07-17,0.8
129,north east,2020-07-24,0.8999999999999999
130,north east,2020-07-31,0.8
131,north east,2020-08-07,0.8999999999999999
132,north east,2020-08-14,0.8999999999999999
133,north east,2020-08-21,0.8999999999999999
134,north east,2020-08-28,0.8999999999999999
135,north east,2020-09-04,0.8999999999999999
136,north east,2020-09-11,1.1
137,north east,2020-09-18,1.2999999999999998
138,north east,2020-09-25,1.35
139,north east,2020-10-02,1.4000000000000001
140,north east,2020-10-09,1.4000000000000001
141,north east,2020-10-16,1.35
142,north east,2020-10-23,1.2000000000000002
143,north east,2020-10-30,1.2000000000000002
144,north east,2020-11-06,1.15
145,north east,2020-11-13,1.1
146,north east,2020-11-20,1.05
147,north east,2020-11-27,0.8999999999999999
148,north east,2020-12-04,0.8
149,north east,2020-12-11,0.8
150,north east,2020-12-18,1.0
151,north east,2020-12-23,1.0
152,north east,2021-01-08,1.25
153,north east,2021-01-15,1.2000000000000002
154,north east,2021-01-22,0.9500000000000001
155,north east,2021-01-29,0.9500000000000001
156,north east,2021-02-05,0.8999999999999999
157,north east,2021-02-12,0.8500000000000001
158,north east,2021-02-19,0.85
159,north east,2021-02-26,0.8
160,north east,2021-03-05,0.85
161,north east,2021-03-12,0.8
162,north east,2021-03-19,0.8
163,north east,2021-03-26,0.8999999999999999
164,north west,2020-06-12,0.88215590663869
165,north west,2020-06-19,0.8321812078945667
166,north west,2020-06-26,0.832130605382813
167,north west,2020-07-03,0.8357387892343741
168,north west,2020-07-10,0.8499746987441231
169,north west,2020-07-17,0.8321559066386899
170,north west,2020-07-24,0.8678440933613101
171,north west,2020-07-31,0.8963918161484392
172,north west,2020-08-07,0.9321306053828131
173,north west,2020-08-14,0.9321306053828131
174,north west,2020-08-21,0.9642612107656261
175,north west,2020-08-28,0.964286512021503
176,north west,2020-09-04,0.9000000000000001
177,north west,2020-09-11,1.1642106082538726
178,north west,2020-09-18,1.3321559066386899
179,north west,2020-09-25,1.35
180,north west,2020-10-02,1.36784409336131
181,north west,2020-10-09,1.335713487978497
182,north west,2020-10-16,1.382130605382813
183,north west,2020-10-23,1.2000000000000002
184,north west,2020-10-30,1.1357893917461277
185,north west,2020-11-06,1.0857640904902506
186,north west,2020-11-13,1.0357893917461276
187,north west,2020-11-20,0.9536334851074377
188,north west,2020-11-27,0.8357893917461278
189,north west,2020-12-04,0.8000253012558769
190,north west,2020-12-11,0.8000506025117538
191,north west,2020-12-18,1.0000506025117537
192,north west,2020-12-23,1.0000506025117537
193,north west,2021-01-08,1.2178693946171868
194,north west,2021-01-15,1.2964424186601928
195,north west,2021-01-22,1.0143118132773798
196,north west,2021-01-29,0.9500000000000001
197,north west,2021-02-05,0.8678187921054332
198,north west,2021-02-12,0.8178440933613101
199,north west,2021-02-19,0.7856881867226201
200,north west,2021-02-26,0.8
201,north west,2021-03-05,0.8178440933613101
202,north west,2021-03-12,0.7356881867226202
203,north west,2021-03-19,0.7999746987441232
204,north west,2021-03-26,0.8678440933613101
205,south east,2020-06-12,0.8981709591351338
206,south east,2020-06-19,0.7999442623022296
207,south east,2020-06-26,0.7998718643006967
208,south east,2020-07-03,0.8490784969493095
209,south east,2020-07-10,0.8989698999470098
